paragraph_id,source_document,paragraph_text
R01,MAS Notice 610 (Feb 2024),"A bank shall establish and maintain adequate policies, procedures and controls to detect and deter and report suspicious transactions."
R02,MAS Notice 610 (Feb 2024),"Enhanced due diligence shall be performed on customers assessed as higher risk, including politically exposed persons (PEPs) and their close associates."
R03,MAS Notice 610 (Feb 2024),The bank shall monitor customer transactions on an ongoing basis for indicators of money laundering or terrorism financing.
R04,MAS Notice 610 (Feb 2024),"Cash transactions of SGD 10,000 and above shall trigger a cash transaction report (CTR) within 5 business days."
R05,MAS Notice 610 (Feb 2024),The bank shall not establish or continue a correspondent banking relationship with a shell bank.
R06,MAS Notice 626 (Oct 2023),Material outsourcing arrangements must be approved by the Board or a Board committee.
R07,MAS Notice 626 (Oct 2023),The bank shall conduct due diligence on the third-party service provider before entering into an outsourcing agreement.
R08,MAS Notice 626 (Oct 2023),Critical systems outsourced to cloud providers must have exit strategies and data retrieval plans in place.
R09,MAS Notice 642 (Jan 2025),Banks shall implement transaction monitoring systems capable of detecting structuring and smurfing patterns in real time.
R10,MAS Notice 642 (Jan 2025),Alerts generated by the transaction monitoring system shall be investigated within 3 business days.
R11,HKMA SPM OR-2 (2024),"Operational risk management framework must include identification, assessment, monitoring and control/mitigation of operational risks."
R12,HKMA SPM OR-2 (2024),Business continuity plans shall be tested at least annually and upon material changes.
R13,Basel III LCR (2024),Banks shall maintain a Liquidity Coverage Ratio (LCR) of at least 100% at all times.
R14,Basel III NSFR (2024),The Net Stable Funding Ratio (NSFR) shall not fall below 100% on an ongoing basis.
R15,MAS Notice 610 (Feb 2024),The bank shall appoint a Money Laundering Reporting Officer (MLRO) who reports directly to senior management.
R16,MAS Notice 626 (Oct 2023),Concentration risk arising from outsourcing to a single provider shall be assessed and mitigated.
R17,MAS Notice 655 (Cyber Hygiene 2025),Multi-factor authentication is mandatory for all internet banking and corporate banking customers.
R18,MAS Notice 655 (Cyber Hygiene 2025),Banks shall conduct penetration testing at least annually and after any material system change.
R19,HKMA SPM TM-G-1 (2024),Transaction monitoring rules shall be reviewed and updated at least annually or upon emergence of new typologies.
R20,Basel Committee 239 (2024),The Board is ultimately responsible for the bank’s risk data aggregation capabilities and risk reporting practices.
R21,MAS Notice 610 (Feb 2024),Suspicious Transaction Reports (STRs) shall be filed with the Suspicious Transaction Reporting Office (STRO) no later than 15 calendar days after detection.
R22,MAS Notice 610 (Feb 2024),The bank shall maintain records of all customer due diligence information for at least 5 years after the business relationship has ended.
R23,MAS Notice 626 (Oct 2023),Audit trails must be maintained for all outsourced processes to enable effective oversight.
R24,MAS Notice 642 (Jan 2025),Name screening against sanctions lists shall be performed in real-time for all transactions.
R25,HKMA Circular (2025),Virtual asset service providers (VASPs) are considered high-risk customers requiring enhanced due diligence.
R26,Basel III (2024th Pillar 2025),Banks shall disclose key regulatory ratios and risk exposures in a consistent and comparable format.
R27,MAS Notice 610 (Feb 2024),Correspondent banking relationships with banks in high-risk jurisdictions require senior management approval.
R28,MAS Notice 655 (Cyber Hygiene 2025),API security testing must be conducted before go-live and annually thereafter.
R29,HKMA SPM OR-2 (2024),Third-party risk assessments shall be performed annually and upon material changes to the service.
R30,MAS Notice 626 (Oct 2023),The bank shall ensure that the outsourcing provider allows it to remain in compliance with all applicable laws and regulations.
R31,MAS Notice 610 (Feb 2024),Training on AML/CFT shall be provided to all relevant staff at least annually.
R32,Basel III LCR (2024),High-quality liquid assets (HQLA) must be unencumbered and readily available.
R33,MAS Notice 642 (Jan 2025),Structuring detection rules must cover both cash deposits and electronic transfers below reporting thresholds.
R34,HKMA SPM TM-G-1 (2024),The transaction monitoring system shall generate alerts for rapid movement of funds through accounts.
R35,MAS Notice 610 (Feb 2024),The bank shall conduct independent audits of its AML/CFT program at least every two years.
R36,MAS Notice 626 (Oct 2023),Data sovereignty requirements must be addressed in cloud outsourcing contracts.
R37,Basel Committee 239 (2024),"Risk reports provided to the Board shall be accurate, timely and comprehensive."
R38,MAS Notice 655 (Cyber Hygiene 2025),Incident response plans shall be tested at least annually with tabletop and technical exercises.
R39,HKMA Circular (2025),Stablecoin-related activities are subject to the same AML/CFT requirements as traditional fiat.
R40,MAS Notice 610 (Feb 2024),The bank shall not open anonymous accounts or accounts in fictitious names.
R41,MAS Notice 642 (Jan 2025),Funnel account detection must include velocity and turnover analysis.
R42,HKMA SPM OR-2 (2024),Operational resilience framework shall include scenario testing for cyber attacks and third-party failure.
R43,Basel III NSFR (2024),Available stable funding shall be calculated using prescribed regulatory factors.
R44,MAS Notice 626 (Oct 2023),Termination clauses in outsourcing contracts must allow orderly exit within 90 days.
R45,MAS Notice 610 (Feb 2024),The bank shall implement a risk-based approach to customer due diligence.
